Incident_ID,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop
A-6300125,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3445149,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2209947,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2935968,False,False,False,False,False,False,False,False,False,False,False,False,False
A-268928,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4388133,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1821060,False,False,True,False,False,False,False,False,False,False,False,True,False
A-647528,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2650555,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1469807,False,False,False,False,False,False,False,False,False,False,False,True,False
A-5438639,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6935955,False,False,False,False,False,False,False,False,False,False,False,False,False
A-306491,False,False,False,False,False,False,False,False,False,False,False,False,False
A-5838889,False,False,False,False,False,False,False,False,False,False,False,True,False
A-2728390,False,False,False,False,False,False,False,False,False,False,False,True,False
A-1502863,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4513630,False,False,False,False,False,False,False,False,False,False,False,False,False
A-305465,False,False,False,False,False,False,False,False,False,False,False,True,False
A-3429628,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3438685,False,False,True,False,False,False,False,False,False,False,False,True,False
A-6216392,False,False,False,False,False,False,False,False,False,False,False,True,False
A-2372155,False,False,False,False,True,False,False,False,False,False,False,False,False
A-2721445,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1347533,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3258619,False,False,False,False,False,False,False,False,False,False,False,True,False
A-3081901,False,False,True,True,False,False,False,False,False,False,False,True,False
A-2388746,False,False,False,False,False,False,False,False,False,False,False,False,False
A-510892,False,False,True,False,False,False,False,False,True,False,False,True,False
A-625942,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7621963,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4909152,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2217219,False,False,True,False,False,False,False,False,False,False,False,True,False
A-3959112,True,False,False,False,False,False,False,False,True,False,False,True,False
A-7600753,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7677151,False,False,False,False,False,False,False,False,False,False,False,False,False
A-282344,False,False,True,False,False,False,False,False,False,False,False,True,False
A-7739940,False,False,True,False,False,False,False,False,False,False,False,True,False
A-824695,False,False,True,False,False,False,False,False,False,False,False,True,False
A-5891889,False,False,False,False,False,False,False,False,False,True,False,False,False
A-6139183,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1551787,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2077949,False,False,True,False,False,False,False,False,False,False,False,True,False
A-2570522,False,False,False,False,False,False,False,False,False,False,False,True,False
A-1419404,False,False,True,False,False,False,False,False,False,False,False,True,False
A-4046236,False,False,False,False,False,False,False,False,False,False,False,False,False
A-384985,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2417316,False,False,False,False,False,False,False,False,False,False,False,False,False
A-509262,False,False,True,False,False,False,False,False,False,True,False,False,False
A-3239867,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3594148,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2122637,False,False,False,False,False,False,False,False,False,True,False,False,False
A-391999,False,False,False,False,False,False,False,False,False,False,False,False,False
A-2490522,True,False,True,False,False,False,False,False,False,True,False,False,False
A-560417,False,False,False,False,False,False,False,False,False,False,False,False,False
A-4442122,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3821599,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3147748,False,False,False,False,False,False,False,False,False,False,False,True,False
A-1103179,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6338510,False,False,False,False,False,False,False,False,False,False,False,False,False
A-280191,False,False,False,False,False,False,False,False,False,False,False,False,False
A-3438229,False,False,False,False,True,False,False,False,False,False,False,False,False
A-4026218,False,False,False,False,False,False,False,False,False,False,False,False,False
A-6566368,False,False,False,False,False,False,False,False,False,False,False,True,False
A-3331392,False,False,False,False,False,False,False,False,False,False,False,False,False
A-7568617,False,False,True,False,False,False,False,False,False,False,False,True,False
A-271581,False,False,True,False,False,False,False,False,False,False,False,False,False
A-2530744,False,False,False,False,False,False,False,False,False,False,False,False,False
A-1394194,False,False,False,False,False,False,False,False,False,False,False,False,False
